slug,family,title,source,notes,num_rows,num_features,actual_censor_rate,observed_csv,truth_csv
survival_default,survival,"Linear treatment / linear outcome, informative proxies, strong confounding, beneficial moderate treatment effect",data_generation.py,Canonical NC survival generator from nc_csf/data_generation.py with standardized defaults.,2000,5,0.35,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/survival_default/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/survival_default/truth.csv
notebook_linear_informative_strong_beneficial_large,survival,"Linear treatment / linear outcome, informative proxies, strong confounding, beneficial large treatment effect",non_censoring_testing.ipynb,Ported from the notebook's linear/linear informative-proxy case; censoring standardized to 35%.,2000,5,0.35,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_informative_strong_beneficial_large/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_informative_strong_beneficial_large/truth.csv
notebook_linear_informative_weak_harmful_small,survival,"Linear treatment / linear outcome, informative proxies, weak confounding, harmful small treatment effect",non_censoring_testing.ipynb,Ported from the notebook's linear/linear weak-confounding case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_informative_weak_harmful_small/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_informative_weak_harmful_small/truth.csv
notebook_linear_noninformative_strong_harmful_moderate,survival,"Linear treatment / linear outcome, non-informative proxies, strong confounding, harmful moderate treatment effect",non_censoring_testing.ipynb,Ported from the notebook's linear/linear weak-proxy case; censoring standardized to 35%.,2000,5,0.35,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_noninformative_strong_harmful_moderate/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_noninformative_strong_harmful_moderate/truth.csv
notebook_linear_noninformative_weak_harmful_nearnull,survival,"Linear treatment / linear outcome, non-informative proxies, weak confounding, harmful near-null treatment effect",non_censoring_testing.ipynb,Ported from the notebook's linear/linear near-null case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_noninformative_weak_harmful_nearnull/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_linear_noninformative_weak_harmful_nearnull/truth.csv
notebook_outcome_nonlinear_informative_strong_beneficial_large,survival,"Linear treatment / nonlinear outcome, informative proxies, strong confounding, beneficial large treatment effect",non_censoring_testing.ipynb,Ported from the notebook's nonlinear-outcome informative-proxy case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_informative_strong_beneficial_large/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_informative_strong_beneficial_large/truth.csv
notebook_outcome_nonlinear_informative_weak_harmful_small,survival,"Linear treatment / nonlinear outcome, informative proxies, weak confounding, harmful small treatment effect",non_censoring_testing.ipynb,Ported from the notebook's nonlinear-outcome weak-confounding case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_informative_weak_harmful_small/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_informative_weak_harmful_small/truth.csv
notebook_outcome_nonlinear_noninformative_strong_harmful_moderate,survival,"Linear treatment / nonlinear outcome, non-informative proxies, strong confounding, harmful moderate treatment effect",non_censoring_testing.ipynb,Ported from the notebook's nonlinear-outcome weak-proxy case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_noninformative_strong_harmful_moderate/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_noninformative_strong_harmful_moderate/truth.csv
notebook_outcome_nonlinear_noninformative_weak_harmful_nearnull,survival,"Linear treatment / nonlinear outcome, non-informative proxies, weak confounding, harmful near-null treatment effect",non_censoring_testing.ipynb,Ported from the notebook's nonlinear-outcome near-null case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_noninformative_weak_harmful_nearnull/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_outcome_nonlinear_noninformative_weak_harmful_nearnull/truth.csv
notebook_fully_nonlinear_informative_strong_beneficial_large,survival,"Nonlinear treatment / nonlinear outcome, informative proxies, strong confounding, beneficial large treatment effect",non_censoring_testing.ipynb,Ported from the notebook's fully nonlinear informative-proxy case; censoring standardized to 35%.,2000,5,0.34950000000000003,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_fully_nonlinear_informative_strong_beneficial_large/observed.csv,/Users/kyoungeuihong/Desktop/csf_grf_new/data/synthetic_scenarios/notebook_fully_nonlinear_informative_strong_beneficial_large/truth.csv
